category,L-30_1,L-30_2,L-30_3,FD30_1,FD30_2,FD30_3,FD90_1,FD90_2,FD90_3,FD150_1,FD150_2,FD150_3,R+1_1,R+1_2,R+1_3,R+7_1,R+7_2,R+7_3
Halarcobacter_bivalviorum,0,6.08075513691829e-07,1.00481180731894e-06,0,3.95738674644608e-07,0,0,0,0,5.55910527590361e-07,0,0,0,0,0,0,0,0
Halarcobacter_anaerophilus,0,0,4.72852615208914e-06,0,0,1.22787226181745e-06,4.70235645494318e-07,0,1.45041449824663e-06,0,0,9.69595332600772e-07,0,0,0,0,0,9.90165490690433e-07
Arcobacter_venerupis,0,0,0,0,0,0,5.71000426671672e-07,0,0,1.14656546315512e-06,0,0,0,0,0,3.52342494756923e-07,0,0
Arcobacter_aquimarinus,7.94910177901509e-07,0,0,9.95380967798298e-07,0,1.84180839272617e-06,1.2427656345207e-06,0,1.45041449824663e-06,3.09225230972138e-06,0,1.11503463249089e-06,0,0,7.03565830858849e-07,0,0,0
Arcobacter_suis,0,0,0,4.31331752712596e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcobacter_sp_FWKO_B,0,0,0,0,0,0,0,0,0,4.86421711641566e-07,0,0,0,0,0,0,0,0
Arcobacter_nitrofigilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25744514287959e-07,0,0,0
Arcobacter_ellisii,0,0,0,0,3.10937530077906e-07,0,8.06118249418831e-07,0,0,0,0,7.75676266080617e-07,5.36857664716879e-07,0,0,9.10218111455386e-07,0,0
Arcobacter_roscoffensis,0,0,0,0,0,0,0,0,0,6.60143751513553e-07,0,0,0,0,0,0,0,0
Arcobacter_porcinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poseidonibacter_lekithochrous,1.52867341904136e-06,0,0,5.97228580678979e-07,0,0,0,0,0,6.94888159487951e-07,0,0,8.94762774528132e-07,0,0,1.55617935184308e-06,0,0
Malaciobacter_mytili,0,0,0,0,0,0,5.37412166279221e-07,0,0,7.99121383411143e-07,0,0,0,0,0,0,0,0
Sulfurimonas_marina,8.86630583043991e-07,1.05031225092225e-06,0,3.118860365768e-06,0,3.11353323532282e-06,2.754237352181e-06,0,2.94111828811122e-06,2.7795526379518e-06,0,2.37550856487189e-06,5.07032238899275e-07,0,2.03663793143351e-06,4.11066243883077e-07,2.76639995896876e-07,1.4233628928675e-06
Sulfurimonas_sp_,0,0,0,0,0,0,3.35882603924513e-07,0,0,6.25399343539156e-07,0,0,0,0,0,0,0,0
Sulfurimonas_sp_HSL-3221,3.05734683808273e-07,0,0,3.98152387119319e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Sulfurimonas_baltica,4.58602025712409e-07,0,0,9.29022236611744e-07,0,0,1.78017780079992e-06,0,0,2.39736415023343e-06,0,0,6.56159367987297e-07,0,0,0,0,0
Sulfurimonas_gotlandica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogenimonas_thermophila,1.71211422932633e-06,0,0,1.72532701085038e-06,0,0,6.04588687064123e-07,0,0,1.25079868707831e-06,0,0,3.57905109811253e-07,0,0,0,0,8.04509461185977e-07
Hydrogenimonas_urashimensis,0,0,0,0,0,0,0,0,0,6.25399343539156e-07,0,0,0,0,0,0,0,0
Hydrogenimonas_cancrithermarum,3.66881620569927e-07,0,0,0,0,5.26230969350335e-07,0,0,4.43182207797581e-07,0,0,4.84797666300386e-07,0,0,7.03565830858849e-07,0,0,0
uncultured_Sulfurimonas_sp_,0,0,0,4.64511118305872e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfurimonas_sediminis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfurimonas_aquatica,5.19748962474064e-07,0,3.7237143447702e-06,0,0,1.18401968103825e-06,4.36647385101867e-07,0,1.32954662339274e-06,1.84145362264307e-06,0,9.21115565970733e-07,0,0,1.11089341714555e-06,1.20383685708616e-06,0,3.65123524692097e-06
Sulfurimonas_paralvinellae,0,0,0,0,0,0,0,0,0,1.80670921466867e-06,0,0,0,0,0,0,0,1.36147754969935e-06
Sulfurovum_lithotrophicum,0,0,8.45224049685934e-06,0,0,3.11353323532282e-06,0,0,3.42458978752677e-06,0,0,3.00574553106239e-06,0,0,9.25744514287959e-07,0,0,3.52746456058467e-06
Akkermansia_muciniphila,2.25937931334314e-05,6.52299187414871e-06,2.9494181873656e-05,2.84015369478448e-05,9.49772819147058e-06,3.94673227012751e-05,2.27056640252971e-05,1.04323124992179e-05,4.7621942692431e-05,3.26249990879593e-05,1.12128666995766e-05,6.82595114150943e-05,1.87900182650908e-05,5.14941013506903e-06,5.99141849647167e-05,0.0001919385740188,6.50103990357658e-06,6.89402722893214e-05
Akkermansia_glycaniphila,0,0,1.30034469182451e-06,0,0,5.26230969350335e-07,0,0,5.23760791033505e-07,4.86421711641566e-07,0,7.75676266080617e-07,0,0,0,0,0,9.90165490690433e-07
Luteolibacter_sp_SL250,0,0,0,4.31331752712596e-07,0,0,4.36647385101867e-07,0,0,5.55910527590361e-07,0,0,0,0,0,0,0,0
Luteolibacter_ambystomatis,4.58602025712409e-07,0,0,0,0,0,6.04588687064123e-07,0,0,6.25399343539156e-07,0,0,6.85984793804901e-07,0,0,3.52342494756923e-07,0,0
Luteolibacter_luteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51684953144923e-07,0,0,0
Roseimicrobium_sp_ORNL1,0,0,0,3.64973021526042e-07,0,4.38525807791946e-07,4.70235645494318e-07,0,6.44628665887391e-07,5.55910527590361e-07,0,0,0,0,0,3.52342494756923e-07,0,0
Verrucomicrobium_sp_GAS474,7.03189772759027e-07,0,0,7.63125408645361e-07,0,0,6.04588687064123e-07,0,0,4.51677303667168e-07,0,0,3.87730535628857e-07,0,0,0,0,0
Opitutus_sp_GAS368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opitutus_terrae,0,0,1.51312836866853e-05,0,0,4.20984775480268e-06,0,0,1.81301812280829e-06,4.1693289569277e-07,0,9.5505140261176e-06,0,0,1.55525078400377e-06,0,0,1.00254255932406e-05
Ereboglobus_luteus,0,0,7.68385499714486e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruficoccus_sp_ZRK36,0,0,1.87958914545543e-05,0,0,4.95534162804899e-06,0,0,2.41735749707772e-06,0,0,1.10049070250188e-05,3.87730535628857e-07,0,1.4071316617177e-06,2.9361874563077e-07,0,1.93701124116316e-05
Coraliomargarita_akajimensis,0,0,0,0,3.67471626455707e-07,9.20904196363086e-07,0,2.81194406987006e-07,6.84917957505353e-07,0,0,9.21115565970733e-07,0,0,0,0,0,9.90165490690433e-07
Puniceicoccus_sp_CR14,0,0,0,0,0,5.26230969350335e-07,0,0,1.04752158206701e-06,4.1693289569277e-07,0,4.84797666300386e-07,0,0,0,0,0,0
Coraliomargarita_sp_J2-16,0,0,0,0,0,6.57788711687919e-07,0,0,0,0,0,0,0,0,0,0,0,8.04509461185977e-07
Gimesia_panareensis,0,0,0,0,0,1.79795581194698e-06,0,0,1.20867874853886e-06,4.86421711641566e-07,0,1.98767043183158e-06,0,0,1.14792319771707e-06,0,0,2.10410166771717e-06
Gimesia_maris,5.80895899235718e-07,0,0,4.64511118305872e-07,0,3.06968065454362e-06,0,0,1.49070378986459e-06,0,0,1.98767043183158e-06,7.75461071257714e-07,0,8.51684953144923e-07,0,0,1.85656029504456e-06
