name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Clostridium_E merdae	3417	S	370	342	712	0.00002
Clostridium_E jeddahense	2252	S	262	3672	3934	0.00011
Clostridium_E sporosphaeroides	592	S	17	299	316	0.00001
An172 sp002160515	1545	S	2596	204	2800	0.00008
Clostridium_A leptum	228	S	1989	1148	3137	0.00009
MGYG000003872	5029	S	114	8	122	0.00000
MGYG000003768	4918	S	6	1	7	0.00000
Eubacterium_R sp900540305	4211	S	1090	361	1451	0.00004
MGYG000000443	874	S	163	64	227	0.00001
Eubacterium_R sp900540235	3218	S	80	13	93	0.00000
Eubacterium_R sp002493325	1752	S	65	13	78	0.00000
Eubacterium_R sp900767025	4530	S	31	9	40	0.00000
Eubacterium_R sp900539775	889	S	28	6	34	0.00000
Eubacterium_R sp014465955	5901	S	18	0	18	0.00000
Eubacterium_R sp000436835	1201	S	16	8	24	0.00000
Eubacterium_R sp900547915	4101	S	15	2	17	0.00000
Eubacterium_R sp900542875	1893	S	14	1	15	0.00000
MGYG000001572	2412	S	13	2	15	0.00000
Eubacterium_R sp900764665	3808	S	8	0	8	0.00000
Eubacterium_R sp900555015	1567	S	6	0	6	0.00000
Eubacterium_R sp900766895	4521	S	4	0	4	0.00000
MGYG000001799	2679	S	1	0	1	0.00000
Acutalibacter sp900755895	1729	S	621	615	1236	0.00003
MGYG000004807	6025	S	53	19	72	0.00000
Acutalibacter sp900548545	5935	S	8	1	9	0.00000
Acutalibacter sp900543305	3131	S	5	0	5	0.00000
Acutalibacter sp000432995	2658	S	4	0	4	0.00000
MGYG000001979	2898	S	1	0	1	0.00000
CAG-177 sp900771185	4764	S	393	80	473	0.00001
CAG-177 sp003538135	5450	S	45	45	90	0.00000
CAG-177 sp000431775	2917	S	19	9	28	0.00000
CAG-177 sp003514385	1309	S	4	2	6	0.00000
UMGS1071 sp900541905	5295	S	118	49	167	0.00000
MGYG000004873	6093	S	34	0	34	0.00000
UMGS1071 sp900542375	5429	S	27	7	34	0.00000
UMGS1071 sp900548305	4103	S	26	14	40	0.00000
RUG420 sp900542575	4202	S	230	24	254	0.00001
UBA5905 sp004558485	5282	S	169	41	210	0.00001
UBA5905 sp002437905	2847	S	7	1	8	0.00000
UBA5905 sp900549155	2957	S	6	1	7	0.00000
UBA5905 sp900763035	3019	S	2	0	2	0.00000
UBA5905 sp900764115	3060	S	1	0	1	0.00000
CAG-488 sp900539465	3846	S	171	2	173	0.00000
CAG-488 sp003486665	5607	S	15	3	18	0.00000
CAG-488 sp900554995	4586	S	9	2	11	0.00000
CAG-488 sp000434055	1231	S	4	0	4	0.00000
UMGS905 sp900540085	3893	S	184	56	240	0.00001
MGYG000004560	5769	S	66	28	94	0.00000
MGYG000004543	5749	S	10	3	13	0.00000
UBA737 sp900543215	1799	S	9	9	18	0.00000
UBA737 sp900554525	4040	S	9	1	10	0.00000
MGYG000001837	2723	S	5	0	5	0.00000
UBA737 sp002431945	5382	S	4	4	8	0.00000
UBA737 sp900547305	3214	S	2	5	7	0.00000
UBA737 sp900769375	4644	S	2	0	2	0.00000
UBA737 sp900768035	4569	S	2	0	2	0.00000
UBA737 sp900549755	895	S	2	8	10	0.00000
MGYG000004229	5421	S	90	15	105	0.00000
UMGS1976 sp900769535	4654	S	81	0	81	0.00000
UMGS1397 sp900551425	5996	S	65	12	77	0.00000
UMGS1397 sp900761355	4304	S	10	2	12	0.00000
Anaeromassilibacillus sp002159845	3070	S	74	37	111	0.00000
UBA1691 sp900549825	1427	S	65	10	75	0.00000
UBA1691 sp900552985	3136	S	3	0	3	0.00000
MGYG000003887	5045	S	35	18	53	0.00000
MGYG000004131	5312	S	6	0	6	0.00000
UMGS1491 sp900552265	1600	S	18	1	19	0.00000
UMGS1491 sp900757335	1779	S	18	2	20	0.00000
UMGS1491 sp900554335	4794	S	2	0	2	0.00000
UMGS1279 sp900761625	4311	S	26	3	29	0.00000
MGYG000000704	1280	S	11	0	11	0.00000
MGYG000003947	5103	S	2	0	2	0.00000
MGYG000003863	5022	S	31	17	48	0.00000
Hydrogeniiclostridium sp900550095	3899	S	4	0	4	0.00000
UMGS1532 sp900552605	1556	S	28	5	33	0.00000
UBA1417 sp003531055	4782	S	17	18	35	0.00000
UBA1417 sp002305575	6107	S	4	1	5	0.00000
UBA6857 sp900767015	4524	S	6	0	6	0.00000
UBA6857 sp900768075	4571	S	6	1	7	0.00000
UBA6857 sp900555805	3199	S	2	1	3	0.00000
RUG806 sp900313475	4583	S	14	5	19	0.00000
UBA1227 sp900545655	4386	S	10	0	10	0.00000
MGYG000004032	5196	S	10	0	10	0.00000
MGYG000003211	4268	S	9	1	10	0.00000
MGYG000002038	2966	S	9	0	9	0.00000
UMGS1474 sp900552115	5486	S	8	0	8	0.00000
UBA1081 sp900543395	3216	S	7	0	7	0.00000
UBA945 sp900549675	627	S	6	0	6	0.00000
MGYG000004727	5940	S	6	0	6	0.00000
MGYG000000456	894	S	5	0	5	0.00000
MGYG000004892	6113	S	5	0	5	0.00000
UMGS856 sp900760305	2506	S	5	1	6	0.00000
MGYG000004322	5517	S	5	0	5	0.00000
MGYG000000505	989	S	5	0	5	0.00000
DTU089 sp002440045	1677	S	4	0	4	0.00000
MGYG000002702	3738	S	2	0	2	0.00000
UMGS1487 sp900552225	4354	S	1	0	1	0.00000
Lawsonibacter sp900066825	229	S	7525	16217	23742	0.00066
Lawsonibacter asaccharolyticus	2306	S	2527	1131	3658	0.00010
Lawsonibacter sp014287875	273	S	1764	3122	4886	0.00014
Lawsonibacter sp900763995	4388	S	29	2	31	0.00000
Lawsonibacter sp900766145	3608	S	11	1	12	0.00000
Lawsonibacter sp900553135	2441	S	10	0	10	0.00000
Lawsonibacter sp900549405	6050	S	9	1	10	0.00000
CAG-110 sp900544945	4493	S	3630	2518	6148	0.00017
CAG-110 sp003525905	2989	S	926	168	1094	0.00003
CAG-110 sp900769995	4685	S	376	3	379	0.00001
CAG-110 sp900544705	1297	S	121	28	149	0.00000
CAG-110 sp000435995	5535	S	105	20	125	0.00000
CAG-110 sp900554625	4105	S	49	23	72	0.00000
CAG-110 sp900553805	5389	S	42	1	43	0.00000
CAG-110 sp900556935	3210	S	26	0	26	0.00000
CAG-110 sp900762245	4343	S	16	0	16	0.00000
